"Term_id"	"Group"	"QC"
"57"	"GO:0000272"	"metabolic process"	"0.985297558185485"
"58"	"GO:0000278"	"cell cycle"	"+"
"59"	"GO:0000280"	"cell cycle"	"+"
"60"	"GO:0000281"	"cell cycle"	"+"
"61"	"GO:0000287"	"protein modification/signaling"	"+"
"62"	"GO:0000288"	"gene regulation"	"+"
"63"	"GO:0000289"	"gene regulation"	"+"
"64"	"GO:0000290"	"gene regulation"	"0.959094807800135"
"65"	"GO:0000296"	"transport"	"0.969885103961374"
"66"	"GO:0000301"	"ER/endosome/lysosome related process"	"0.924979910397383"
"67"	"GO:0000302"	"stress response"	"+"
"68"	"GO:0000303"	"stress response"	"0.902261202210841"
"69"	"GO:0000304"	"stress response"	"0.661057276223628"
"70"	"GO:0000305"	"stress response"	"0.898619935822287"
"71"	"GO:0000320"	"cell cycle"	"0.945578511394398"
"72"	"GO:0000338"	"protein modification/signaling"	"+"
"73"	"GO:0000348"	"cellular component organization"	"0.531705385705172"
"74"	"GO:0000349"	"cellular component organization"	"0.444099110483116"
"75"	"GO:0000350"	"cellular component organization"	"0.609160304142121"
"76"	"GO:0000353"	"cellular component organization"	"0.482809036058675"
"77"	"GO:0000354"	"cellular component organization"	"0.437201015666613"
"78"	"GO:0000365"	"gene regulation"	"0.438912316582826"
"79"	"GO:0000375"	"gene regulation"	"0.882556214397198"
"80"	"GO:0000377"	"gene regulation"	"+"
"81"	"GO:0000378"	"metabolic process"	"0.497362067819523"
"82"	"GO:0000379"	"gene regulation"	"0.852287151078614"
"83"	"GO:0000380"	"gene regulation"	"+"
"84"	"GO:0000381"	"gene regulation"	"+"
"85"	"GO:0000387"	"cellular component organization"	"0.64772327443342"
"86"	"GO:0000388"	"cellular component organization"	"0.811488047807012"
"87"	"GO:0000389"	"cellular component organization"	"0.567545624513795"
"88"	"GO:0000390"	"gene regulation"	"0.662265871207246"
"89"	"GO:0000393"	"cellular component organization"	"0.571061554299458"
"90"	"GO:0000394"	"gene regulation"	"0.910594497230852"
"91"	"GO:0000395"	"cellular component organization"	"0.461829709375692"
"92"	"GO:0000398"	"gene regulation"	"+"
"93"	"GO:0000407"	"cellular component organization"	"+"
"94"	"GO:0000409"	"gene regulation"	"0.952515010692227"
"95"	"GO:0000411"	"gene regulation"	"0.776316135616199"
"96"	"GO:0000413"	"protein modification/signaling"	"+"
"97"	"GO:0000422"	"metabolic process"	"+"
"98"	"GO:0000423"	"cellular component organization"	"+"
"99"	"GO:0000425"	"metabolic process"	"0.628456277444026"
"100"	"GO:0000429"	"gene regulation"	"0.609835375938768"
"101"	"GO:0000430"	"gene regulation"	"0.729887096139752"
"102"	"GO:0000431"	"gene regulation"	"0.790383353845232"
"103"	"GO:0000432"	"gene regulation"	"0.664980032797298"
"104"	"GO:0000435"	"gene regulation"	"0.822392272577527"
"105"	"GO:0000436"	"gene regulation"	"0.659932624011185"
